
[16:32:52.430]收←◆ LCD ID:ffff

SDRAM Capacity:12240KB
SDRAM Capacity:12256KB
SDRAM Capacity:12272KB
SDRAM Capacity:12288KB
SDRAM Capacity:11280KB
SDRAM Capacity:11296KB
SDRAM Capacity:11312KB
SDRAM Capacity:11328KB
SDRAM Capacity:11344KB
SDRAM Capacity:11360KB
SDRAM Capacity:11376KB
SDRAM Capacity:11392KB
SDRAM Capacity:11408KB
SDRAM Capacity:11424KB
SDRAM Capacity:11440KB
SDRAM Capacity:11456KB
SDRAM Capacity:11472KB
SDRAM Capacity:11488KB
SDRAM Capacity:11504KB
SDRAM Capacity:11520KB
SDRAM Capacity:11536KB
SDRAM Capacity:11552KB
SDRAM Capacity:11568KB
SDRAM Capacity:11584KB
SDRAM Capacity:11600KB
SDRAM Capacity:11616KB
SDRAM Capacity:11632KB
SDRAM Capacity:11648KB
SDRAM Capacity:11664KB
SDRAM Capacity:11680KB
SDRAM Capacity:11696KB
SDRAM Capacity:11712KB
SDRAM Capacity:11728KB
SDRAM Capacity:11744KB
SDRAM Capacity:11760KB
SDRAM Capacity:11776KB
SDRAM Capacity:11792KB
SDRAM Capacity:11808KB
SDRAM Capacity:11824KB
SDRAM Capacity:11840KB
SDRAM Capacity:11856KB
SDRAM Capacity:11872KB
SDRAM Capacity:11888KB
SDRAM Capacity:11904KB
SDRAM Capacity:11920KB
SDRAM Capacity:11936KB
SDRAM Capacity:11952KB
SDRAM Capacity:11968KB
SDRAM Capacity:11984KB
SDRAM Capacity:12000KB
SDRAM Capacity:12016KB
SDRAM Capacity:12032KB
SDRAM Capacity:12048KB
SDRAM Capacity:12064KB
SDRAM Capacity:12080KB
SDRAM Capacity:12096KB
SDRAM Capacity:12112KB
SDRAM Capacity:12128KB
SDRAM Capacity:12144KB
SDRAM Capacity:12160KB
SDRAM Capacity:12176KB
SDRAM Capacity:12192KB
SDRAM Capacity:12208KB
SDRAM Capacity:12224KB
SDRAM Capacity:12240KB
SDRAM Capacity:12256KB
SDRAM Capacity:12272KB
SDRAM Capacity:12288KB
SDRAM Capacity:13328KB
SDRAM Capacity:13344KB
SDRAM Capacity:13360KB
SDRAM Capacity:13376KB
SDRAM Capacity:13392KB
SDRAM Capacity:13408KB
SDRAM Capacity:13424KB
SDRAM Capacity:13440KB
SDRAM Capacity:13456KB
SDRAM Capacity:13472KB
SDRAM Capacity:13488KB
SDRAM Capacity:13504KB
SDRAM Capacity:13520KB
SDRAM Capacity:13536KB
SDRAM Capacity:13552KB
SDRAM Capacity:13568KB
SDRAM Capacity:13584KB
SDRAM Capacity:13600KB
SDRAM Capacity:13616KB
SDRAM Capacity:13632KB
SDRAM Capacity:13648KB
SDRAM Capacity:13664KB
SDRAM Capacity:13680KB
SDRAM Capacity:13696KB
SDRAM Capacity:13712KB
SDRAM Capacity:13728KB
SDRAM Capacity:13744KB
SDRAM Capacity:13760KB
SDRAM Capacity:13776KB
SDRAM Capacity:13792KB
SDRAM Capacity:13808KB
SDRAM Capacity:13824KB
SDRAM Capacity:13840KB
SDRAM Capacity:13856KB
SDRAM Capacity:13872KB
SDRAM Capacity:13888KB
SDRAM Capacity:13904KB
SDRAM Capacity:13920KB
SDRAM Capacity:13936KB
SDRAM Capacity:13952KB
SDRAM Capacity:13968KB
SDRAM Capacity:13984KB
SDRAM Capacity:14000KB
SDRAM Capacity:14016KB
SDRAM Capacity:14032KB
SDRAM Capacity:14048KB
SDRAM Capacity:14064KB
SDRAM Capacity:14080KB
SDRAM Capacity:14096KB
SDRAM Capacity:14112KB
SDRAM Capacity:14128KB
SDRAM Capacity:14144KB
SDRAM Capacity:14160KB
SDRAM Capacity:14176KB
SDRAM Capacity:14192KB
SDRAM Capacity:14208KB
SDRAM Capacity:14224KB
SDRAM Capacity:14240KB
SDRAM Capacity:14256KB
SDRAM Capacity:14272KB
SDRAM Capacity:14288KB
SDRAM Capacity:14304KB
SDRAM Capacity:14320KB
SDRAM Capacity:14336KB
SDRAM Capacity:13328KB
SDRAM Capacity:13344KB
SDRAM Capacity:13360KB
SDRAM Capacity:13376KB
SDRAM Capacity:13392KB
SDRAM Capacity:13408KB
SDRAM Capacity:13424KB
SDRAM Capacity:13440KB
SDRAM Capacity:13456KB
SDRAM Capacity:13472KB
SDRAM Capacity:13488KB
SDRAM Capacity:13504KB
SDRAM Capacity:13520KB
SDRAM Capacity:13536KB
SDRAM Capacity:13552KB
SDRAM Capacity:13568KB
SDRAM Capacity:13584KB
SDRAM Capacity:13600KB
SDRAM Capacity:13616KB
SDRAM Capacity:13632KB
SDRAM Capacity:13648KB
SDRAM Capacity:13664KB
SDRAM Capacity:13680KB
SDRAM Capacity:13696KB
SDRAM Capacity:13712KB
SDRAM Capacity:13728KB
SDRAM Capacity:13744KB
SDRAM Capacity:13760KB
SDRAM Capacity:13776KB
SDRAM Capacity:13792KB
SDRAM Capacity:13808KB
SDRAM Capacity:13824KB
SDRAM Capacity:13840KB
SDRAM Capacity:13856KB
SDRAM Capacity:13872KB
SDRAM Capacity:13888KB
SDRAM Capacity:13904KB
SDRAM Capacity:13920KB
SDRAM Capacity:13936KB
SDRAM Capacity:13952KB
SDRAM Capacity:13968KB
SDRAM Capacity:13984KB
SDRAM Capacity:14000KB
SDRAM Capacity:14016KB
SDRAM Capacity:14032KB
SDRAM Capacity:14048KB
SDRAM Capacity:14064KB
SDRAM Capacity:14080KB
SDRAM Capacity:14096KB
SDRAM Capacity:14112KB
SDRAM Capacity:14128KB
SDRAM Capacity:14144KB
SDRAM Capacity:14160KB
SDRAM Capacity:14176KB
SDRAM Capacity:14192KB
SDRAM Capacity:14208KB
SDRAM Capacity:14224KB
SDRAM Capacity:14240KB
SDRAM Capacity:14256KB
SDRAM Capacity:14272KB
SDRAM Capacity:14288KB
SDRAM Capacity:14304KB
SDRAM Capacity:14320KB
SDRAM Capacity:14336KB
SDRAM Capacity:15376KB
SDRAM Capacity:15392KB
SDRAM Capacity:15408KB
SDRAM Capacity:15424KB
SDRAM Capacity:15440KB
SDRAM Capacity:15456KB
SDRAM Capacity:15472KB
SDRAM Capacity:15488KB
SDRAM Capacity:15504KB
SDRAM Capacity:15520KB
SDRAM Capacity:15536KB
SDRAM Capacity:15552KB
SDRAM Capacity:15568KB
SDRAM Capacity:15584KB
SDRAM Capacity:15600KB
SDRAM Capacity:15616KB
SDRAM Capacity:15632KB
SDRAM Capacity:15648KB
SDRAM Capacity:15664KB
SDRAM Capacity:15680KB
SDRAM Capacity:15696KB
SDRAM Capacity:15712KB
SDRAM Capacity:15728KB
SDRAM Capacity:15744KB
SDRAM Capacity:15760KB
SDRAM Capacity:15776KB
SDRAM Capacity:15792KB
SDRAM Capacity:15808KB
SDRAM Capacity:15824KB
